Date,Customer/Vendor Name,Remark,Increase,Release Qty,Inventory Qty
03/Jan/2023 ,PEMBINAAN ENG LEE JAYA SDN BHD,,,1.00,130.00
03/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,129.00
09/Jan/2023 ,MR EE KIAN SENG,,,1.00,128.00
10/Jan/2023 ,ACE DUPLEX SDN BHD,,,1.00,127.00
13/Jan/2023 ,ALOR BATU TRADING,,,1.00,126.00
19/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,125.00
27/Jan/2023 ,NAUQAZ ENTERPRISE,,,1.00,124.00
30/Jan/2023 ,SENI PERINTIS SDN BHD,,,1.00,123.00
30/Jan/2023 ,ROSZALI & HARON ENTERPRISE SDN BHD,,,1.00,122.00
31/Jan/2023 ,IOI PLANTATION SDN BHD SAGIL ESTATE,QT230100069,,1.00,121.00
31/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,120.00
31/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,119.00
31/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,118.00
31/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,117.00
31/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,116.00
31/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,115.00
31/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,114.00
31/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,113.00
31/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,112.00
31/Jan/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,111.00
06/Feb/2023 ,OREC CO. LTD,ON2208003,60.00,,171.00
06/Feb/2023 ,OREC CO. LTD,ON2301004,75.00,,246.00
08/Feb/2023 ,YANG DIPERTUA MAJLIS DAERAH PENGKALAN HULU,,,1.00,245.00
13/Feb/2023 ,UNIVERSITI SULTAN AZLAN SHAH,QT00675,,1.00,244.00
28/Feb/2023 ,YANG DIPERTUA MAJLIS DAERAH TANJONG MALIM,QT221200120,,1.00,243.00
28/Feb/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,242.00
28/Feb/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,241.00
28/Feb/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,240.00
28/Feb/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,239.00
02/Mar/2023 ,YANG DIPERTUA MAJLIS DAERAH LENGGONG,,,1.00,238.00
03/Mar/2023 ,KEJORA IMPIAN RESOURCES,,,2.00,236.00
07/Mar/2023 ,UNIQUE CLEAR SDN BHD,,,1.00,235.00
07/Mar/2023 ,JABATAN PERTANIAN NEGERI KELANTAN,QT230100141,,1.00,234.00
07/Mar/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,233.00
08/Mar/2023 ,KELAB GOLF KINTA,,1.00,,234.00
08/Mar/2023 ,SIME DARBY PLANTATION BERHAD,QT230100056,,1.00,233.00
08/Mar/2023 ,PERKHIDMATAN ARAH (M) SDN BHD,QT230100039,,1.00,232.00
10/Mar/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,231.00
13/Mar/2023 ,BANDAR RIMBAYU SDN BHD,,,1.00,230.00
15/Mar/2023 ,ACE DUPLEX SDN BHD,,,1.00,229.00
22/Mar/2023 ,YANG DIPERTUA MAJLIS DAERAH PENGKALAN HULU,QT230200052,,1.00,228.00
23/Mar/2023 ,ACHI JAYA PLANTATIONS SDN BHD,,,1.00,227.00
24/Mar/2023 ,BIOGREEN EVOLUTION SDN BHD,,,1.00,226.00
31/Mar/2023 ,JABATAN KERJA RAYA NEGERI TERENGGANU,,,1.00,225.00
31/Mar/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,224.00
31/Mar/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,223.00
31/Mar/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,222.00
31/Mar/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,221.00
31/Mar/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,220.00
31/Mar/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,219.00
31/Mar/2023 ,MAJLIS BANDARAYA IPOH,,,1.00,218.00
