sku,date,forecast,model,lower_bound,upper_bound
SKU_0001,2024-01-31,53917.81774632174,theta,0.0,124198.14250742384
SKU_0001,2024-02-29,58867.58813621966,theta,0.0,129147.91289732174
SKU_0001,2024-03-31,74896.6998687862,theta,4616.3751076841145,145177.0246298883
SKU_0039,2024-01-31,53143.2617663602,exponential_smoothing,48334.09182878411,57952.43170393629
SKU_0039,2024-02-29,54297.09807977418,exponential_smoothing,49487.92814219809,59106.26801735027
SKU_0039,2024-03-31,68881.54534565246,exponential_smoothing,64072.37540807637,73690.71528322855
SKU_0040,2024-01-31,22498.820940690715,exponential_smoothing,20963.13831824474,24034.50356313669
SKU_0040,2024-02-29,20707.34749138079,exponential_smoothing,19171.664868934815,22243.030113826768
SKU_0040,2024-03-31,21846.18989908447,exponential_smoothing,20310.507276638495,23381.872521530448
SKU_0041,2024-01-31,44260.01985099609,exponential_smoothing,41690.16053453385,46829.87916745833
SKU_0041,2024-02-29,39171.85322464259,exponential_smoothing,36601.993908180346,41741.71254110483
SKU_0041,2024-03-31,45729.27959818275,exponential_smoothing,43159.42028172051,48299.138914644995
SKU_0042,2024-01-31,58708.46876179408,exponential_smoothing,50456.84486634807,66960.0926572401
SKU_0042,2024-02-29,53554.89017948066,exponential_smoothing,45303.266284034646,61806.51407492667
SKU_0042,2024-03-31,59355.69414207305,exponential_smoothing,51104.070246627045,67607.31803751906
SKU_0043,2024-01-31,43617.264634915504,exponential_smoothing,39709.2504290879,47525.27884074311
SKU_0043,2024-02-29,40035.35360079687,exponential_smoothing,36127.33939496927,43943.367806624476
SKU_0043,2024-03-31,44775.72258236015,exponential_smoothing,40867.708376532544,48683.73678818775
SKU_0044,2024-01-31,36547.157875983394,exponential_smoothing,31918.541919682222,41175.77383228456
SKU_0044,2024-02-29,44003.35390549635,exponential_smoothing,39374.73794919518,48631.969861797515
SKU_0044,2024-03-31,48679.1807035168,exponential_smoothing,44050.564747215634,53307.79665981797
SKU_0045,2024-01-31,88083.6955837943,exponential_smoothing,80755.68802266713,95411.70314492146
SKU_0045,2024-02-29,87788.0335533602,exponential_smoothing,80460.02599223304,95116.04111448737
SKU_0045,2024-03-31,103783.6112964973,exponential_smoothing,96455.60373537014,111111.61885762446
SKU_0046,2024-01-31,55316.59300371296,exponential_smoothing,49398.77101761754,61234.41498980838
SKU_0046,2024-02-29,47239.09439374735,exponential_smoothing,41321.27240765193,53156.91637984277
SKU_0046,2024-03-31,56181.12524166608,exponential_smoothing,50263.30325557066,62098.9472277615
SKU_0047,2024-01-31,61723.8458268991,exponential_smoothing,56731.60035339789,66716.09130040031
SKU_0047,2024-02-29,60400.938799439624,exponential_smoothing,55408.69332593841,65393.18427294084
SKU_0047,2024-03-31,78034.04805401753,exponential_smoothing,73041.80258051632,83026.29352751875
SKU_0048,2024-01-31,53870.102497379296,exponential_smoothing,49335.54932059177,58404.655674166825
SKU_0048,2024-02-29,57462.38873964778,exponential_smoothing,52927.83556286025,61996.94191643531
SKU_0048,2024-03-31,67318.1618977179,exponential_smoothing,62783.60872093037,71852.71507450542
SKU_0049,2024-01-31,19326.94326877224,theta,0.0,41984.323095130894
SKU_0049,2024-02-29,19430.728225386636,theta,0.0,42088.10805174529
SKU_0049,2024-03-31,24169.88958656056,theta,1512.5097602019086,46827.26941291921
