Date,Product_Code,Warehouse,Sales_Quantity,Category,Unit_Price,Unit_Cost,Revenue
2022-01-01,ELEC-LAPTOP-001,NYC-01,58,Electronics,220.14,92.29,12768.39
2022-01-02,ELEC-LAPTOP-001,NYC-01,46,Electronics,224.21,92.29,10313.45
2022-01-03,ELEC-LAPTOP-001,NYC-01,40,Electronics,237.51,92.29,9500.51
2022-01-04,ELEC-LAPTOP-001,NYC-01,53,Electronics,230.94,92.29,12239.62
2022-01-05,ELEC-LAPTOP-001,NYC-01,41,Electronics,235.04,92.29,9636.51
2022-01-06,ELEC-LAPTOP-001,NYC-01,41,Electronics,230.45,92.29,9448.57
2022-01-07,ELEC-LAPTOP-001,NYC-01,61,Electronics,220.88,92.29,13473.63
2022-01-08,ELEC-LAPTOP-001,NYC-01,60,Electronics,224.94,92.29,13496.7
2022-01-09,ELEC-LAPTOP-001,NYC-01,44,Electronics,225.24,92.29,9910.77
2022-01-10,ELEC-LAPTOP-001,NYC-01,39,Electronics,219.42,92.29,8557.43
2022-01-11,ELEC-LAPTOP-001,NYC-01,40,Electronics,227.97,92.29,9118.89
2022-01-12,ELEC-LAPTOP-001,NYC-01,40,Electronics,236.57,92.29,9462.76
2022-01-13,ELEC-LAPTOP-001,NYC-01,44,Electronics,228.83,92.29,10068.48
2022-01-14,ELEC-LAPTOP-001,NYC-01,35,Electronics,220.87,92.29,7730.51
2022-01-15,ELEC-LAPTOP-001,NYC-01,40,Electronics,239.13,92.29,9565.02
2022-01-16,ELEC-LAPTOP-001,NYC-01,43,Electronics,232.04,92.29,9977.63
2022-01-17,ELEC-LAPTOP-001,NYC-01,31,Electronics,218.7,92.29,6779.75
2022-01-18,ELEC-LAPTOP-001,NYC-01,45,Electronics,230.17,92.29,10357.56
2022-01-19,ELEC-LAPTOP-001,NYC-01,3,Electronics,223.88,92.29,671.65
2022-01-20,ELEC-LAPTOP-001,NYC-01,34,Electronics,221.62,92.29,7535.2
2022-01-21,ELEC-LAPTOP-001,NYC-01,60,Electronics,228.19,92.29,13691.31
2022-01-22,ELEC-LAPTOP-001,NYC-01,52,Electronics,232.45,92.29,12087.57
2022-01-23,ELEC-LAPTOP-001,NYC-01,48,Electronics,223.85,92.29,10744.92
2022-01-24,ELEC-LAPTOP-001,NYC-01,29,Electronics,227.9,92.29,6609.02
2022-01-25,ELEC-LAPTOP-001,NYC-01,39,Electronics,233.59,92.29,9110.1
2022-01-26,ELEC-LAPTOP-001,NYC-01,44,Electronics,220.29,92.29,9692.83
2022-01-27,ELEC-LAPTOP-001,NYC-01,35,Electronics,240.72,92.29,8425.3
2022-01-28,ELEC-LAPTOP-001,NYC-01,52,Electronics,219.88,92.29,11433.73
2022-01-29,ELEC-LAPTOP-001,NYC-01,49,Electronics,230.41,92.29,11290.27
2022-01-30,ELEC-LAPTOP-001,NYC-01,45,Electronics,229.98,92.29,10349.24
2022-01-31,ELEC-LAPTOP-001,NYC-01,33,Electronics,241.04,92.29,7954.23
2022-02-01,ELEC-LAPTOP-001,NYC-01,55,Electronics,231.06,92.29,12708.26
2022-02-02,ELEC-LAPTOP-001,NYC-01,43,Electronics,227.3,92.29,9773.78
2022-02-03,ELEC-LAPTOP-001,NYC-01,36,Electronics,229.13,92.29,8248.62
2022-02-04,ELEC-LAPTOP-001,NYC-01,56,Electronics,232.93,92.29,13044.23
2022-02-05,ELEC-LAPTOP-001,NYC-01,44,Electronics,240.87,92.29,10598.27
2022-02-06,ELEC-LAPTOP-001,NYC-01,49,Electronics,224.15,92.29,10983.51
2022-02-07,ELEC-LAPTOP-001,NYC-01,31,Electronics,218.7,92.29,6779.61
2022-02-08,ELEC-LAPTOP-001,NYC-01,41,Electronics,236.45,92.29,9694.26
2022-02-09,ELEC-LAPTOP-001,NYC-01,53,Electronics,226.25,92.29,11991.15
2022-02-10,ELEC-LAPTOP-001,NYC-01,72,Electronics,235.17,92.29,16932.1
2022-02-11,ELEC-LAPTOP-001,NYC-01,69,Electronics,232.76,92.29,16060.6
2022-02-12,ELEC-LAPTOP-001,NYC-01,64,Electronics,236.05,92.29,15107.47
2022-02-13,ELEC-LAPTOP-001,NYC-01,47,Electronics,235.22,92.29,11055.32
2022-02-14,ELEC-LAPTOP-001,NYC-01,25,Electronics,225.97,92.29,5649.14
2022-02-15,ELEC-LAPTOP-001,NYC-01,38,Electronics,219.34,92.29,8335.03
2022-02-16,ELEC-LAPTOP-001,NYC-01,40,Electronics,230.87,92.29,9234.89
2022-02-17,ELEC-LAPTOP-001,NYC-01,50,Electronics,237.02,92.29,11850.98
2022-02-18,ELEC-LAPTOP-001,NYC-01,52,Electronics,222.35,92.29,11562.09
2022-02-19,ELEC-LAPTOP-001,NYC-01,39,Electronics,236.23,92.29,9212.96
2022-02-20,ELEC-LAPTOP-001,NYC-01,50,Electronics,229.0,92.29,11450.09
2022-02-21,ELEC-LAPTOP-001,NYC-01,34,Electronics,234.31,92.29,7966.37
2022-02-22,ELEC-LAPTOP-001,NYC-01,39,Electronics,232.84,92.29,9080.85
2022-02-23,ELEC-LAPTOP-001,NYC-01,47,Electronics,236.97,92.29,11137.75
2022-02-24,ELEC-LAPTOP-001,NYC-01,50,Electronics,219.77,92.29,10988.71
2022-02-25,ELEC-LAPTOP-001,NYC-01,56,Electronics,236.16,92.29,13225.07
2022-02-26,ELEC-LAPTOP-001,NYC-01,47,Electronics,228.84,92.29,10755.58
