Date,SKU,Quantity,Category
2023-01-01,ELEC-LAPTOP-001,51,Electronics
2023-01-02,ELEC-LAPTOP-001,36,Electronics
2023-01-03,ELEC-LAPTOP-001,47,Electronics
2023-01-04,ELEC-LAPTOP-001,53,Electronics
2023-01-05,ELEC-LAPTOP-001,41,Electronics
2023-01-06,ELEC-LAPTOP-001,48,Electronics
2023-01-07,ELEC-LAPTOP-001,67,Electronics
2023-01-08,ELEC-LAPTOP-001,53,Electronics
2023-01-09,ELEC-LAPTOP-001,34,Electronics
2023-01-10,ELEC-LAPTOP-001,46,Electronics
2023-01-11,ELEC-LAPTOP-001,40,Electronics
2023-01-12,ELEC-LAPTOP-001,40,Electronics
2023-01-13,ELEC-LAPTOP-001,51,Electronics
2023-01-14,ELEC-LAPTOP-001,38,Electronics
2023-01-15,ELEC-LAPTOP-001,35,Electronics
2023-01-16,ELEC-LAPTOP-001,33,Electronics
2023-01-17,ELEC-LAPTOP-001,36,Electronics
2023-01-18,ELEC-LAPTOP-001,45,Electronics
2023-01-19,ELEC-LAPTOP-001,3,Electronics
2023-01-20,ELEC-LAPTOP-001,39,Electronics
2023-01-21,ELEC-LAPTOP-001,99,Electronics
2023-01-22,ELEC-LAPTOP-001,69,Electronics
2023-01-23,ELEC-LAPTOP-001,55,Electronics
2023-01-24,ELEC-LAPTOP-001,51,Electronics
2023-01-25,ELEC-LAPTOP-001,59,Electronics
2023-01-26,ELEC-LAPTOP-001,44,Electronics
2023-01-27,ELEC-LAPTOP-001,41,Electronics
2023-01-28,ELEC-LAPTOP-001,57,Electronics
2023-01-29,ELEC-LAPTOP-001,43,Electronics
2023-01-30,ELEC-LAPTOP-001,35,Electronics
2023-01-31,ELEC-LAPTOP-001,39,Electronics
2023-02-01,ELEC-LAPTOP-001,55,Electronics
2023-02-02,ELEC-LAPTOP-001,43,Electronics
2023-02-03,ELEC-LAPTOP-001,42,Electronics
2023-02-04,ELEC-LAPTOP-001,60,Electronics
2023-02-05,ELEC-LAPTOP-001,39,Electronics
