Date,SKU,Quantity
01 Jan 2023,PROD-001,92
02 Jan 2023,PROD-001,67
03 Jan 2023,PROD-001,85
04 Jan 2023,PROD-001,92
05 Jan 2023,PROD-001,78
06 Jan 2023,PROD-001,89
07 Jan 2023,PROD-001,115
08 Jan 2023,PROD-001,94
09 Jan 2023,PROD-001,64
10 Jan 2023,PROD-001,84
11 Jan 2023,PROD-001,76
12 Jan 2023,PROD-001,76
13 Jan 2023,PROD-001,94
14 Jan 2023,PROD-001,80
15 Jan 2023,PROD-001,72
16 Jan 2023,PROD-001,64
17 Jan 2023,PROD-001,71
18 Jan 2023,PROD-001,82
19 Jan 2023,PROD-001,72
20 Jan 2023,PROD-001,79
21 Jan 2023,PROD-001,114
22 Jan 2023,PROD-001,86
23 Jan 2023,PROD-001,68
24 Jan 2023,PROD-001,68
25 Jan 2023,PROD-001,75
26 Jan 2023,PROD-001,80
27 Jan 2023,PROD-001,81
28 Jan 2023,PROD-001,103
29 Jan 2023,PROD-001,82
30 Jan 2023,PROD-001,66
31 Jan 2023,PROD-001,75
01 Feb 2023,PROD-001,94
02 Feb 2023,PROD-001,80
03 Feb 2023,PROD-001,82
04 Feb 2023,PROD-001,108
05 Feb 2023,PROD-001,77
06 Feb 2023,PROD-001,69
07 Feb 2023,PROD-001,77
08 Feb 2023,PROD-001,83
09 Feb 2023,PROD-001,98
10 Feb 2023,PROD-001,148
11 Feb 2023,PROD-001,137
12 Feb 2023,PROD-001,104
13 Feb 2023,PROD-001,69
14 Feb 2023,PROD-001,61
15 Feb 2023,PROD-001,74
16 Feb 2023,PROD-001,76
17 Feb 2023,PROD-001,101
18 Feb 2023,PROD-001,103
19 Feb 2023,PROD-001,72
20 Feb 2023,PROD-001,70
21 Feb 2023,PROD-001,77
22 Feb 2023,PROD-001,74
23 Feb 2023,PROD-001,85
24 Feb 2023,PROD-001,101
25 Feb 2023,PROD-001,109
26 Feb 2023,PROD-001,80
27 Feb 2023,PROD-001,66
28 Feb 2023,PROD-001,82
01 Mar 2023,PROD-001,88
02 Mar 2023,PROD-001,76
03 Mar 2023,PROD-001,90
04 Mar 2023,PROD-001,89
05 Mar 2023,PROD-001,77
06 Mar 2023,PROD-001,73
07 Mar 2023,PROD-001,91
08 Mar 2023,PROD-001,79
09 Mar 2023,PROD-001,88
10 Mar 2023,PROD-001,95
11 Mar 2023,PROD-001,93
12 Mar 2023,PROD-001,91
13 Mar 2023,PROD-001,78
14 Mar 2023,PROD-001,80
15 Mar 2023,PROD-001,92
16 Mar 2023,PROD-001,59
17 Mar 2023,PROD-001,99
18 Mar 2023,PROD-001,101
19 Mar 2023,PROD-001,85
20 Mar 2023,PROD-001,68
21 Mar 2023,PROD-001,64
22 Mar 2023,PROD-001,78
23 Mar 2023,PROD-001,83
24 Mar 2023,PROD-001,106
25 Mar 2023,PROD-001,95
26 Mar 2023,PROD-001,81
27 Mar 2023,PROD-001,64
28 Mar 2023,PROD-001,87
29 Mar 2023,PROD-001,99
30 Mar 2023,PROD-001,91
31 Mar 2023,PROD-001,116
01 Apr 2023,PROD-001,131
02 Apr 2023,PROD-001,117
03 Apr 2023,PROD-001,70
04 Apr 2023,PROD-001,79
05 Apr 2023,PROD-001,71
06 Apr 2023,PROD-001,57
07 Apr 2023,PROD-001,70
08 Apr 2023,PROD-001,103
09 Apr 2023,PROD-001,88
10 Apr 2023,PROD-001,66
11 Apr 2023,PROD-001,69
12 Apr 2023,PROD-001,77
13 Apr 2023,PROD-001,77
14 Apr 2023,PROD-001,85
15 Apr 2023,PROD-001,98
16 Apr 2023,PROD-001,92
17 Apr 2023,PROD-001,81
18 Apr 2023,PROD-001,81
19 Apr 2023,PROD-001,82
20 Apr 2023,PROD-001,79
21 Apr 2023,PROD-001,74
22 Apr 2023,PROD-001,100
23 Apr 2023,PROD-001,89
24 Apr 2023,PROD-001,85
25 Apr 2023,PROD-001,78
26 Apr 2023,PROD-001,82
27 Apr 2023,PROD-001,80
28 Apr 2023,PROD-001,81
29 Apr 2023,PROD-001,112
30 Apr 2023,PROD-001,95
01 May 2023,PROD-001,73
02 May 2023,PROD-001,73
03 May 2023,PROD-001,91
04 May 2023,PROD-001,69
05 May 2023,PROD-001,98
06 May 2023,PROD-001,122
07 May 2023,PROD-001,79
08 May 2023,PROD-001,64
09 May 2023,PROD-001,81
10 May 2023,PROD-001,76
11 May 2023,PROD-001,68
12 May 2023,PROD-001,93
13 May 2023,PROD-001,90
14 May 2023,PROD-001,92
15 May 2023,PROD-001,62
16 May 2023,PROD-001,93
17 May 2023,PROD-001,74
18 May 2023,PROD-001,78
19 May 2023,PROD-001,100
20 May 2023,PROD-001,88
21 May 2023,PROD-001,90
22 May 2023,PROD-001,77
23 May 2023,PROD-001,67
24 May 2023,PROD-001,82
25 May 2023,PROD-001,82
26 May 2023,PROD-001,99
27 May 2023,PROD-001,88
28 May 2023,PROD-001,76
29 May 2023,PROD-001,72
30 May 2023,PROD-001,83
31 May 2023,PROD-001,82
01 Jun 2023,PROD-001,83
02 Jun 2023,PROD-001,86
03 Jun 2023,PROD-001,103
04 Jun 2023,PROD-001,91
05 Jun 2023,PROD-001,63
06 Jun 2023,PROD-001,95
07 Jun 2023,PROD-001,84
08 Jun 2023,PROD-001,71
09 Jun 2023,PROD-001,98
10 Jun 2023,PROD-001,91
11 Jun 2023,PROD-001,95
12 Jun 2023,PROD-001,76
13 Jun 2023,PROD-001,74
14 Jun 2023,PROD-001,88
15 Jun 2023,PROD-001,84
16 Jun 2023,PROD-001,100
17 Jun 2023,PROD-001,120
18 Jun 2023,PROD-001,86
19 Jun 2023,PROD-001,63
20 Jun 2023,PROD-001,73
21 Jun 2023,PROD-001,74
22 Jun 2023,PROD-001,80
23 Jun 2023,PROD-001,96
24 Jun 2023,PROD-001,103
25 Jun 2023,PROD-001,96
26 Jun 2023,PROD-001,68
27 Jun 2023,PROD-001,92
28 Jun 2023,PROD-001,78
29 Jun 2023,PROD-001,102
30 Jun 2023,PROD-001,98
01 Jul 2023,PROD-001,110
02 Jul 2023,PROD-001,95
03 Jul 2023,PROD-001,86
04 Jul 2023,PROD-001,126
05 Jul 2023,PROD-001,128
06 Jul 2023,PROD-001,116
07 Jul 2023,PROD-001,115
08 Jul 2023,PROD-001,105
09 Jul 2023,PROD-001,77
10 Jul 2023,PROD-001,60
11 Jul 2023,PROD-001,87
12 Jul 2023,PROD-001,82
13 Jul 2023,PROD-001,70
14 Jul 2023,PROD-001,94
15 Jul 2023,PROD-001,104
16 Jul 2023,PROD-001,81
17 Jul 2023,PROD-001,69
18 Jul 2023,PROD-001,81
19 Jul 2023,PROD-001,71
20 Jul 2023,PROD-001,83
21 Jul 2023,PROD-001,98
22 Jul 2023,PROD-001,112
23 Jul 2023,PROD-001,98
24 Jul 2023,PROD-001,59
25 Jul 2023,PROD-001,73
26 Jul 2023,PROD-001,85
27 Jul 2023,PROD-001,85
28 Jul 2023,PROD-001,97
29 Jul 2023,PROD-001,140
30 Jul 2023,PROD-001,94
31 Jul 2023,PROD-001,76
01 Aug 2023,PROD-001,88
02 Aug 2023,PROD-001,86
03 Aug 2023,PROD-001,78
04 Aug 2023,PROD-001,100
05 Aug 2023,PROD-001,93
06 Aug 2023,PROD-001,86
07 Aug 2023,PROD-001,65
08 Aug 2023,PROD-001,81
09 Aug 2023,PROD-001,99
10 Aug 2023,PROD-001,65
11 Aug 2023,PROD-001,99
12 Aug 2023,PROD-001,101
13 Aug 2023,PROD-001,101
14 Aug 2023,PROD-001,91
15 Aug 2023,PROD-001,146
16 Aug 2023,PROD-001,125
17 Aug 2023,PROD-001,125
18 Aug 2023,PROD-001,159
19 Aug 2023,PROD-001,144
20 Aug 2023,PROD-001,134
21 Aug 2023,PROD-001,97
22 Aug 2023,PROD-001,102
23 Aug 2023,PROD-001,126
24 Aug 2023,PROD-001,105
25 Aug 2023,PROD-001,85
26 Aug 2023,PROD-001,112
27 Aug 2023,PROD-001,85
28 Aug 2023,PROD-001,72
29 Aug 2023,PROD-001,74
30 Aug 2023,PROD-001,80
31 Aug 2023,PROD-001,85
01 Sep 2023,PROD-001,101
02 Sep 2023,PROD-001,89
03 Sep 2023,PROD-001,86
04 Sep 2023,PROD-001,65
05 Sep 2023,PROD-001,75
06 Sep 2023,PROD-001,95
07 Sep 2023,PROD-001,84
08 Sep 2023,PROD-001,81
09 Sep 2023,PROD-001,110
10 Sep 2023,PROD-001,108
11 Sep 2023,PROD-001,76
12 Sep 2023,PROD-001,68
13 Sep 2023,PROD-001,77
14 Sep 2023,PROD-001,91
15 Sep 2023,PROD-001,86
16 Sep 2023,PROD-001,105
17 Sep 2023,PROD-001,96
18 Sep 2023,PROD-001,62
19 Sep 2023,PROD-001,80
20 Sep 2023,PROD-001,54
21 Sep 2023,PROD-001,72
22 Sep 2023,PROD-001,90
23 Sep 2023,PROD-001,88
24 Sep 2023,PROD-001,103
25 Sep 2023,PROD-001,59
26 Sep 2023,PROD-001,77
27 Sep 2023,PROD-001,82
28 Sep 2023,PROD-001,92
29 Sep 2023,PROD-001,79
30 Sep 2023,PROD-001,113
01 Oct 2023,PROD-001,89
02 Oct 2023,PROD-001,62
03 Oct 2023,PROD-001,84
04 Oct 2023,PROD-001,82
05 Oct 2023,PROD-001,76
06 Oct 2023,PROD-001,94
07 Oct 2023,PROD-001,97
08 Oct 2023,PROD-001,90
09 Oct 2023,PROD-001,73
10 Oct 2023,PROD-001,94
11 Oct 2023,PROD-001,71
12 Oct 2023,PROD-001,98
13 Oct 2023,PROD-001,75
14 Oct 2023,PROD-001,100
15 Oct 2023,PROD-001,94
16 Oct 2023,PROD-001,71
17 Oct 2023,PROD-001,76
18 Oct 2023,PROD-001,79
19 Oct 2023,PROD-001,77
20 Oct 2023,PROD-001,87
21 Oct 2023,PROD-001,110
22 Oct 2023,PROD-001,92
23 Oct 2023,PROD-001,64
24 Oct 2023,PROD-001,88
25 Oct 2023,PROD-001,83
26 Oct 2023,PROD-001,87
27 Oct 2023,PROD-001,99
28 Oct 2023,PROD-001,93
29 Oct 2023,PROD-001,84
30 Oct 2023,PROD-001,74
31 Oct 2023,PROD-001,86
01 Nov 2023,PROD-001,202
02 Nov 2023,PROD-001,205
03 Nov 2023,PROD-001,263
04 Nov 2023,PROD-001,239
05 Nov 2023,PROD-001,235
06 Nov 2023,PROD-001,169
07 Nov 2023,PROD-001,198
08 Nov 2023,PROD-001,225
09 Nov 2023,PROD-001,220
10 Nov 2023,PROD-001,252
11 Nov 2023,PROD-001,287
12 Nov 2023,PROD-001,224
13 Nov 2023,PROD-001,184
14 Nov 2023,PROD-001,197
15 Nov 2023,PROD-001,210
16 Nov 2023,PROD-001,200
17 Nov 2023,PROD-001,236
18 Nov 2023,PROD-001,269
19 Nov 2023,PROD-001,205
20 Nov 2023,PROD-001,209
21 Nov 2023,PROD-001,183
22 Nov 2023,PROD-001,214
23 Nov 2023,PROD-001,272
24 Nov 2023,PROD-001,303
25 Nov 2023,PROD-001,973
26 Nov 2023,PROD-001,749
27 Nov 2023,PROD-001,466
28 Nov 2023,PROD-001,868
29 Nov 2023,PROD-001,205
30 Nov 2023,PROD-001,189
01 Dec 2023,PROD-001,257
02 Dec 2023,PROD-001,250
03 Dec 2023,PROD-001,205
04 Dec 2023,PROD-001,167
05 Dec 2023,PROD-001,212
06 Dec 2023,PROD-001,192
07 Dec 2023,PROD-001,186
08 Dec 2023,PROD-001,240
09 Dec 2023,PROD-001,260
10 Dec 2023,PROD-001,212
11 Dec 2023,PROD-001,165
12 Dec 2023,PROD-001,208
13 Dec 2023,PROD-001,174
14 Dec 2023,PROD-001,175
15 Dec 2023,PROD-001,217
16 Dec 2023,PROD-001,249
17 Dec 2023,PROD-001,277
18 Dec 2023,PROD-001,238
19 Dec 2023,PROD-001,265
20 Dec 2023,PROD-001,401
21 Dec 2023,PROD-001,366
22 Dec 2023,PROD-001,337
23 Dec 2023,PROD-001,356
24 Dec 2023,PROD-001,261
25 Dec 2023,PROD-001,178
26 Dec 2023,PROD-001,187
27 Dec 2023,PROD-001,214
28 Dec 2023,PROD-001,235
29 Dec 2023,PROD-001,232
30 Dec 2023,PROD-001,265
31 Dec 2023,PROD-001,239
01 Jan 2023,PROD-002,168
02 Jan 2023,PROD-002,139
03 Jan 2023,PROD-002,160
04 Jan 2023,PROD-002,161
05 Jan 2023,PROD-002,147
06 Jan 2023,PROD-002,184
07 Jan 2023,PROD-002,209
08 Jan 2023,PROD-002,201
09 Jan 2023,PROD-002,149
10 Jan 2023,PROD-002,194
11 Jan 2023,PROD-002,147
12 Jan 2023,PROD-002,174
13 Jan 2023,PROD-002,187
14 Jan 2023,PROD-002,243
15 Jan 2023,PROD-002,161
16 Jan 2023,PROD-002,124
17 Jan 2023,PROD-002,150
18 Jan 2023,PROD-002,126
19 Jan 2023,PROD-002,151
20 Jan 2023,PROD-002,170
21 Jan 2023,PROD-002,203
22 Jan 2023,PROD-002,182
23 Jan 2023,PROD-002,161
24 Jan 2023,PROD-002,175
25 Jan 2023,PROD-002,150
26 Jan 2023,PROD-002,145
27 Jan 2023,PROD-002,193
28 Jan 2023,PROD-002,173
29 Jan 2023,PROD-002,208
30 Jan 2023,PROD-002,152
31 Jan 2023,PROD-002,152
01 Feb 2023,PROD-002,132
02 Feb 2023,PROD-002,181
03 Feb 2023,PROD-002,182
04 Feb 2023,PROD-002,224
05 Feb 2023,PROD-002,148
06 Feb 2023,PROD-002,127
07 Feb 2023,PROD-002,192
08 Feb 2023,PROD-002,193
09 Feb 2023,PROD-002,183
10 Feb 2023,PROD-002,293
11 Feb 2023,PROD-002,241
12 Feb 2023,PROD-002,208
13 Feb 2023,PROD-002,144
14 Feb 2023,PROD-002,151
15 Feb 2023,PROD-002,171
16 Feb 2023,PROD-002,142
17 Feb 2023,PROD-002,155
18 Feb 2023,PROD-002,225
19 Feb 2023,PROD-002,182
20 Feb 2023,PROD-002,125
21 Feb 2023,PROD-002,185
22 Feb 2023,PROD-002,162
23 Feb 2023,PROD-002,179
24 Feb 2023,PROD-002,185
25 Feb 2023,PROD-002,241
26 Feb 2023,PROD-002,207
27 Feb 2023,PROD-002,132
28 Feb 2023,PROD-002,175
01 Mar 2023,PROD-002,170
02 Mar 2023,PROD-002,182
03 Mar 2023,PROD-002,166
04 Mar 2023,PROD-002,214
05 Mar 2023,PROD-002,194
06 Mar 2023,PROD-002,112
07 Mar 2023,PROD-002,141
08 Mar 2023,PROD-002,127
09 Mar 2023,PROD-002,155
10 Mar 2023,PROD-002,197
11 Mar 2023,PROD-002,230
12 Mar 2023,PROD-002,177
13 Mar 2023,PROD-002,158
