,PROD-001,PROD-002,PROD-003
2024-03-31,291.0,445.0,585.0
2024-04-01,293.1897271268099,444.83662180515785,590.8950209902468
2024-04-02,295.29795345104503,448.32852101082426,597.8400172860856
2024-04-03,296.65317014446646,454.33485718401244,607.4450271638434
2024-04-04,301.67295345104503,457.5545797835093,614.7700209902414
2024-04-05,303.8626805778549,465.22746223813556,619.930034572164
2024-04-06,305.5825441412553,467.569016751042,621.844983948633
2024-04-07,305.67937399678704,469.8637311190723,624.0650296332842
2024-04-08,303.49213483146286,468.1795797835166,625.2049913569535
2024-04-09,310.0024879614757,473.36056303248006,629.5400419804846
2024-04-10,311.95951043338937,478.11373111906505,634.9600197555192
2024-04-11,317.52174959871536,481.48556303247096,637.930034572164
2024-04-12,321.81918138042056,485.10105877268506,646.8849950611148
2024-04-13,320.24213483146286,486.83168909741835,650.5399802444845
2024-04-14,322.638362760832,490.20352101082426,651.2500308680155
2024-04-15,323.25497592295596,495.21478989175375,655.2400666749018
2024-04-16,323.7524879614757,498.3654957402123,657.0050283985693
2024-04-17,325.9422150882856,502.31408404329704,661.525018520806
2024-04-18,327.662078651686,505.68591595670296,662.7200148166448
2024-04-19,329.8518057784959,508.22112606494557,667.2400049388816
2024-04-20,332.0415329052985,511.4535210108297,671.7599950611184
2024-04-21,334.250521669348,514.6859159567084,676.625
2024-04-22,340.0242375601938,518.2788739350617,686.0550037041612
2024-04-23,342.2139646869964,521.6507058484676,690.574993826398
2024-04-24,344.4036918138063,525.0225377618735,695.0949839486348
2024-04-25,342.9447030497595,525.4119747293862,698.7299790097532
2024-04-26,341.84983948636,527.0049327077377,694.8649740708715
2024-04-27,344.0395666131626,530.3767646211436,695.0649678972695
2024-04-28,346.2292937399725,533.7485965345495,699.5849580195063
2024-04-29,348.4190208667751,537.1204284479554,704.1049481417431
