,PROD-001,PROD-002,PROD-003,PROD-004,PROD-005
2024-03-31,484.4527650210666,417.1103366988913,344.8103821506994,458.4682498774369,516.9808036425395
2024-04-01,413.7258833425259,353.69355004769204,287.54248644381806,381.2647320169468,436.63465651065223
2024-04-02,418.5711315865083,354.16002994106435,290.0141312364587,390.04243248019685,436.0361948939706
2024-04-03,425.80688903319617,356.0017794880895,296.002517225658,392.23437801156,441.9419583752942
2024-04-04,427.0068727396562,362.20643784236006,295.8658980623543,395.38856121284914,449.82157823725373
2024-04-05,419.64736815030017,360.3392469146708,297.9884831938651,394.53264541635957,449.00755215168806
2024-04-06,493.03605266451166,425.8111816007599,355.374772462296,469.01599458568734,524.0636158838886
2024-04-07,508.70680565210637,435.4456720270622,363.8243317348152,481.7441114194033,540.2944496704979
2024-04-08,435.95999799821476,374.08962565200744,306.3679525475949,405.7706960062035,460.1923715402098
2024-04-09,443.68002558427423,374.8930136538357,308.8627765182543,411.4629961914928,456.1134044452221
2024-04-10,451.2933337020252,376.81873478481504,315.92835010857146,416.1890817771395,469.28647528967025
2024-04-11,450.77799867308335,383.1461924805422,314.9926814074616,416.4430341363704,475.0271553585082
2024-04-12,440.601917091456,379.87195087145835,314.9540186753786,414.00691663234176,470.4020738066909
2024-04-13,506.059310581837,439.40852153430825,366.58682381203755,481.89696564773993,536.6551742132694
2024-04-14,531.5704848483,458.4194024086875,382.67687038806946,500.02603233118015,562.2501105047241
2024-04-15,459.6976024640047,394.7081935661283,325.90507486495954,424.1754196922213,481.8110998120514
2024-04-16,466.7889735506394,396.67130975841053,328.700414641652,434.91696758087306,482.69969507311436
2024-04-17,471.59517802677595,395.9890109101658,333.4249124613931,434.74909882799415,490.5565556972754
2024-04-18,471.8376431229346,403.67338956630255,334.343012063752,436.9557418486318,494.6372521718253
2024-04-19,457.3103679610567,394.9189140202313,328.40317347211953,427.7325378458365,484.3270015160755
2024-04-20,528.3799111014271,458.529568873426,385.80651289175745,498.73751751667606,555.6228726596695
2024-04-21,559.1147202606429,480.8740884317804,405.56254466356773,523.4219815339433,584.8472215274674
2024-04-22,479.95153207717823,412.9296788282072,342.46508904842443,442.98061697552674,501.486384942751
2024-04-23,486.2476635254533,414.30131124339675,345.5521259155075,450.1726881789942,498.81122096154417
2024-04-24,494.1687845123046,416.44674595601515,352.0786535383942,455.79143131286753,508.53896001211706
2024-04-25,489.59800756826866,418.38560445095777,348.90787377645427,451.620749552898,510.8044711049116
2024-04-26,479.5444186580732,415.29739820346566,347.4150201841548,448.47024862968584,504.3343520144013
2024-04-27,542.5229065246507,472.0674016417293,397.60843372289366,511.7322435881943,568.2260539171729
2024-04-28,570.7599559376578,494.37282500818475,416.68552779773756,534.4895676344743,596.0972949708123
2024-04-29,497.25754756470695,430.3252551950846,358.23474001082127,455.0421310912929,514.4572011631325
