,PROD-001,PROD-002,PROD-003,PROD-004,PROD-005
31 March 2024,511.9330227271824,434.3847285424519,351.96098107521374,469.11723764602675,524.193870695619
01 April 2024,415.8527587922429,356.0237577292671,292.1177302304297,385.7808729577071,434.58362682830176
02 April 2024,422.9834973460677,356.02295721519994,295.14964792053973,385.95454743857437,441.44641160547854
03 April 2024,409.6425702486235,350.4238543327792,289.2301224687008,379.20035070220024,432.5369135368607
04 April 2024,428.03135350249005,359.3636549971886,298.8723808482382,391.2308622202529,447.02143799124093
05 April 2024,436.1749788486156,369.1802875637623,306.6213868413252,399.19002244949564,456.7195952017746
06 April 2024,514.709437183728,435.4757801426725,361.1949810038195,469.78783878743405,536.3602527153635
07 April 2024,533.8552871136202,450.16909675175856,368.42901341494235,484.9950737976915,551.1880985399466
08 April 2024,438.82235317196324,372.82621002369575,305.69945092112897,402.67012760550597,451.32796647928996
09 April 2024,447.98891353147127,379.2806827825544,311.6002656350571,411.11734631753126,463.2319944296178
10 April 2024,440.37711646623967,376.14547166835064,311.008602089373,408.30847706290024,460.00751941030813
11 April 2024,449.0496344325192,379.8160432505556,315.1879750870542,416.7763880247505,468.7228318107902
12 April 2024,448.8888880253521,381.1695493618441,316.68204607607686,415.1674881461283,471.22510050590625
13 April 2024,550.4979297386157,466.27399874780286,386.95780484924353,502.2842475265686,571.8939636900897
14 April 2024,562.8302528588118,471.8778202448453,390.7851316624383,519.2662064395773,578.0021762384922
15 April 2024,462.0314571382041,390.417216732575,326.05521777662136,430.5421456599895,479.2613351363063
16 April 2024,463.50197460696853,392.2704490229377,329.4386965596291,430.742254159216,485.11907002112366
17 April 2024,461.5369702910357,394.7993408069893,326.6247938380831,427.766974011124,479.54750943680364
18 April 2024,461.98053970318574,391.2727976974547,328.33025990790946,427.2789798727481,487.85293100087307
19 April 2024,470.4349112927194,399.08338113408035,333.00821868273056,434.94156467427547,491.43340917579576
20 April 2024,558.3892037113247,475.82579078570296,398.4146528470132,511.8113097449443,584.4315795546646
21 April 2024,577.1463978912378,487.54917148910096,406.7434828158377,529.7977552371831,597.2088549171054
22 April 2024,472.9839709071395,403.7867322302081,338.8546952235042,445.6875114786024,497.34812209318414
23 April 2024,475.86219986212745,405.15938085268544,341.9605473063473,448.5920620081917,505.9933288649684
24 April 2024,470.72268168256807,403.2549314682674,338.2754530983323,443.7853028754004,494.18335346857293
25 April 2024,467.2667442082008,402.8204493512203,338.8400107015049,437.9296993481076,493.5274360715236
26 April 2024,481.9491616922166,411.86771389837486,347.03737483152855,444.1278112613663,505.4686220622302
27 April 2024,574.2143875710808,489.77454732395927,409.82702733325624,526.1930553174105,589.2362794379584
28 April 2024,586.5112982060713,500.201997699062,416.6235695833834,542.451286961808,601.8796155496478
29 April 2024,480.39414858530444,412.25262086368963,352.51166874369284,439.2555471743984,507.12807079307703
