,PROD-001,PROD-002,PROD-003,PROD-004,PROD-005
2024-03-31,466.1219944573085,393.7420984940834,321.23887077690665,427.15886256384783,477.0452717703867
2024-04-01,374.78960358082236,322.3603272464928,267.2430819806996,347.0418075582542,390.4639658865945
2024-04-02,383.25685010145025,321.12654983265287,268.08259107858106,349.68740213882467,399.09651071656043
2024-04-03,369.0152695709806,318.41271629877355,262.591132921659,343.0627661993235,388.2849415249159
2024-04-04,386.9306521097588,327.52192312744677,274.2327820408073,355.6811121121014,402.38565354976646
2024-04-05,396.298939170603,338.2590395396808,280.16267455125245,364.9287557597516,415.708884674179
2024-04-06,470.77439443458775,394.948629200949,327.23116646234854,413.05114954455075,488.92596368817425
2024-04-07,486.0369095240032,408.82528784295863,337.1746257012241,440.3761335551587,497.10090259867076
2024-04-08,398.37302694222814,341.6595142327789,280.36900855377047,368.5031740793765,408.55549112666426
2024-04-09,407.4989690644695,342.6183557010666,281.5871748734678,377.5540935526454,419.28073578051846
2024-04-10,400.49342078635783,343.86627099731635,284.5385844081964,371.5447241788963,417.71510613884146
2024-04-11,411.12782826921307,348.98634253726897,289.52953626079017,381.53295697165646,428.17539996878526
2024-04-12,408.5269458391412,346.2950337278253,289.49548138972455,378.52086359642135,427.8016342803767
2024-04-13,503.8518634991762,422.77805148225065,351.16047321830337,447.0524827845147,523.1807026069702
2024-04-14,512.2039183389138,432.38320731768573,360.3729827685877,473.2147578978996,524.3898059692424
2024-04-15,423.2438487955846,359.3770980334688,302.5154114671249,395.47636314876974,438.3497875868072
2024-04-16,423.61270537871764,357.1007988538676,299.00576435713737,390.2233565343936,441.3770917625449
2024-04-17,423.87009396624245,364.36405407208,302.49890911676,393.79581532253013,439.0155686156864
2024-04-18,423.8367653691004,360.62838187755113,303.85499846889155,390.89961620409866,447.7683774369943
2024-04-19,430.5211563490825,368.233631100383,309.7530974959922,402.50003106333565,448.9380802426313
2024-04-20,513.0378490144029,437.1829534704946,366.1354116786403,457.9192803401292,535.919260414206
2024-04-21,531.9995564765312,449.2108287606797,377.4816513658425,486.1524520837342,548.2937027026213
2024-04-22,434.8203482593754,373.8691836916411,312.60640556228265,411.7159589814078,456.4716057780327
2024-04-23,436.22591020455747,371.9525021194713,315.84125434501135,410.92738633256016,463.67126467106755
2024-04-24,433.1402317186178,372.9885310658422,314.62528107753775,409.2205253574475,454.6037305183456
2024-04-25,430.65192425047667,371.20369821250347,312.6577293674195,402.07768486380866,453.13633617504473
2024-04-26,442.5087098182834,379.0380082237594,322.6502502327021,408.20812736113777,463.190036366745
2024-04-27,529.5913691864813,449.3876533100917,377.53037131766945,466.8588539708064,541.0993528659661
2024-04-28,540.3791557213456,462.6568914357847,387.3662862529457,502.2307021128169,553.1138024910616
2024-04-29,443.66721452348816,382.1605119381836,326.81173306642614,404.1934526253371,467.5595343892921
