,PROD-001,PROD-002,PROD-003
2024-03-31,270.9719823434974,431.36098818784046,570.1580886529249
2024-04-01,272.9286918138065,431.122882454623,570.4390918631867
2024-04-02,284.7055296950255,436.1014034654472,574.9590819854235
2024-04-03,283.2538764044979,433.3919714367985,579.812074330157
2024-04-04,285.4436035313005,436.7638033502044,586.5010488949167
2024-04-05,287.4394622792972,440.9462705272214,605.2279799975295
2024-04-06,289.6291894060998,444.3181024406273,603.6010674157227
2024-04-07,287.6207544141231,447.6899343540332,608.1210575379595
2024-04-08,282.4158025682229,450.3404957402137,612.4610809976439
2024-04-09,284.6055296950255,458.6360521875125,611.711013088033
2024-04-10,286.7952568218354,462.9452757541949,615.3579898752927
2024-04-11,290.8161155698264,464.35063361731153,615.6389930855545
2024-04-12,306.602800963088,469.8254251553644,620.1589832077913
2024-04-13,308.0125762439831,472.475986541545,624.6789733300426
2024-04-14,310.2023033707857,475.8478184549509,629.1989634522794
2024-04-15,312.3920304975956,479.21965036835684,634.0519557970129
2024-04-16,314.5817576243982,482.59148228176275,638.9589770342005
2024-04-17,311.5465650080285,492.90457978350753,649.8650666749018
2024-04-18,304.3130738362781,489.9199310614422,654.3850567971385
2024-04-19,306.50280096308796,493.2917629748481,658.9050469193753
2024-04-20,308.6925280898906,496.663594888254,663.4250370416121
2024-04-21,310.88225521670046,500.0354268016599,667.9450271638489
2024-04-22,313.07198234350307,503.40725871506584,672.4650172860856
2024-04-23,317.25557784911723,506.502117545377,676.9850074083224
2024-04-24,333.74242375601955,515.89943861383,681.5049975305592
2024-04-25,335.93215088282216,519.2712705272213,686.024987652796
2024-04-26,338.12187800963204,522.6431024406272,690.5449777750327
2024-04-27,340.31160513643465,526.0149343540331,695.0649678972695
2024-04-28,342.50133226324454,529.386766267439,699.5849580195063
2024-04-29,348.4190208667751,537.1204284479554,704.1049481417431
