,PROD-001,PROD-002,PROD-003,PROD-004,PROD-005
2024-03-31,576.2419735247498,487.63196563636455,394.5380876282631,533.1664769333285,592.3884153664527
2024-04-01,484.27815816679276,412.1522426493468,337.12702690831094,456.1296587000982,507.4050530500685
2024-04-02,491.77357953644895,413.301846200819,341.2602532475168,451.39362000440775,514.5115344215101
2024-04-03,479.04591902067904,409.3749188577085,336.539154950935,441.3939364329153,506.90214576235775
2024-04-04,498.84239552127036,416.3519290344737,344.4427743539248,457.80304379214044,521.5575172135344
2024-04-05,505.0949110523292,427.49559893619386,350.45535382359554,460.36966202889374,529.490522332237
2024-04-06,576.9567541565262,490.59430700437866,406.9258886679475,530.6246339233759,602.6628656093021
2024-04-07,595.3089178044871,505.87749887732866,415.9588355169258,546.1341740292669,615.9638174847886
2024-04-08,507.0650251687204,430.8169330590874,352.9276489518293,478.29177831423095,524.7968261221164
2024-04-09,516.5692171767101,435.573712137689,357.354991839159,474.5694765541728,536.9712872762381
2024-04-10,509.7787879087244,434.6449892294652,358.79205917628286,472.82974467488566,534.2431253109579
2024-04-11,519.9270201261301,435.3045134694421,358.831600219849,480.24357005788926,544.2347120779586
2024-04-12,514.9230156586196,436.9176027675919,359.93338581920233,477.3621916311801,541.3980123826705
2024-04-13,609.0943458895721,518.5458806022585,430.11552840805916,562.6353206525332,635.6833052496225
2024-04-14,622.2078829343857,526.5362846871009,437.79358824241336,582.0709708858226,641.0791765166979
2024-04-15,526.560070542509,448.44260185926925,371.5432217854364,504.50788615082314,549.064376837607
2024-04-16,530.1780636528985,447.73887000205286,375.4590929845953,495.2836365036312,557.288516321825
2024-04-17,525.8465377534266,451.91270650867904,372.81522135709,490.8927412717374,548.2267514026722
2024-04-18,530.1320128093741,446.7356635234261,371.2189423140312,487.6766142268478,560.0596367638362
2024-04-19,538.8694011614912,455.02821988281147,378.16668358157335,498.5111966859794,564.5479572807767
2024-04-20,617.8872662041657,527.0393792394835,438.2352390317033,572.6649726582941,648.014139378328
2024-04-21,636.5355607946066,541.3195791630777,449.0247356933605,591.5281797886032,660.0898272729531
2024-04-22,540.9242408502911,460.70955546801724,384.4030997319269,522.4428626523754,568.8464866132902
2024-04-23,541.7282153892269,461.4871954220203,387.4032546698364,508.84464179008484,576.4336901079936
2024-04-24,540.6188259726567,462.51543363725665,386.0681062931344,507.81692873721687,567.8335690695336
2024-04-25,532.6660124610781,457.33619242937,382.96611036211385,498.3300776829247,563.3986328267351
2024-04-26,549.3481639766229,468.0709887689024,392.25531150779665,506.71363394135227,579.1774392887986
2024-04-27,631.8757399514265,540.3590993091633,453.00634589972805,585.4166194029517,651.4878029357325
2024-04-28,645.461304786421,553.7527877198346,462.7395839035091,606.2783145787804,665.4560718083936
2024-04-29,546.7612537400427,468.48257118701844,397.23609036410056,517.3234459269078,577.3923100088023
