,PROD-001,PROD-002,PROD-003,PROD-004,PROD-005
2024-03-31,527.4136150945925,454.8054324203417,375.62117394569583,500.47907397658383,565.1483880826797
2024-04-01,458.1098063340624,392.811718687153,319.7763511568251,422.73972980380194,485.0381170567505
2024-04-02,463.1150406047431,393.4381846072237,322.4079819761641,433.1160311053598,483.62631012832117
2024-04-03,470.0230477628678,394.9521838656856,328.0686176768001,434.1798380916515,491.5149757736171
2024-04-04,470.9451162303868,400.8789269810151,327.6540832745555,436.6385610191079,497.97552591903747
2024-04-05,466.30570266060084,401.73182707289584,332.4967594256362,438.62387538990373,499.55850514617146
2024-04-06,538.2332722116666,465.7426467958394,388.4219337309215,508.2494472520523,570.2010164257786
2024-04-07,556.009880373838,477.4829923967182,398.9773481780173,525.622994687432,594.2045191825487
2024-04-08,481.9989509148135,414.8628242165307,340.2568471856642,447.7366629829669,509.8674183436406
2024-04-09,488.10567018454157,414.0529039020274,341.1383628399921,453.0410855691527,504.92747575664066
2024-04-10,497.07920071506265,417.33884744577676,349.5641588430793,459.74804217578435,518.8322266157124
2024-04-11,494.5691557032906,421.6715951586739,346.6337801591393,457.1550308105541,522.7109308728983
2024-04-12,485.0882324682101,419.09251189613684,347.2902757736032,456.3506079960414,518.7810076676277
2024-04-13,551.5626637170991,479.6461203174947,399.9401186687701,522.7554317123135,585.6429841704972
2024-04-14,575.9388290929556,497.5219923012676,414.8951563541954,542.0822579833675,611.6684874594155
2024-04-15,503.0105946635135,432.7554314135615,357.0680087859388,464.0427373434312,528.5823653387864
2024-04-16,510.5559317376045,435.1725135933001,360.3173145500876,474.4975192042257,529.1841945719922
2024-04-17,515.1177864416396,434.2458649729539,364.7974625977273,474.9859829671988,537.5836752552028
2024-04-18,513.4659660416248,440.0359581329171,363.8212767039126,476.5722020513528,540.8925844305852
2024-04-19,503.7444265599751,436.08721826707426,362.6871737925085,471.12408939765623,534.0959812479838
2024-04-20,574.6777204046696,499.56162382459297,419.9542639164705,542.5871215662866,606.5622174036897
2024-04-21,601.5770570627562,518.0706708818183,435.8748231871516,567.8939608650448,636.677536943923
2024-04-22,525.6129892093265,453.3253816082799,375.9764879020431,485.7503259409614,551.3696731831382
2024-04-23,530.0048077177003,452.7927010835682,377.159211829225,490.4347737780983,545.9923758088614
2024-04-24,539.8674056000812,456.8796126917161,385.62721634764114,497.2023232017527,557.6045655604164
2024-04-25,532.8688937019356,456.390736232549,380.02870163159156,491.9405191004964,557.9679757227611
2024-04-26,526.2401033632931,456.7273285566101,381.96064661084534,489.33656378542344,552.7565165951684
2024-04-27,586.426200368038,510.7049411330412,429.3616692877516,557.494814156271,614.5890753371964
2024-04-28,613.6827450244684,532.0298597429197,447.45825860601866,577.849492350315,645.5053958270241
2024-04-29,541.4894821311121,469.29143540941436,390.31661629869706,498.9971908214446,564.6773099783368
